stop_id,stop_name,stop_lat,stop_lon
ST_4446,"Pardubice, Čepí,prodejna",,
ST_4447,"Pardubice, Černá u Bohdanče,bytovky",,
ST_4448,"Pardubice, Černá u Bohdanče,obecní úřad",,
ST_4449,"Pardubice, Černá u Bohdanče,,sever",,
ST_4450,"Pardubice, Dašice,Pod Dubem",,
ST_4451,"Pardubice, Dašice,Zminný,odb.Veská",,
ST_4452,"Pardubice, Dříteč",,
ST_4453,"Pardubice, Němčice,chaloupky",,
ST_4454,"Pardubice, Němčice,,rybníček",,
ST_4455,"Pardubice, Ostřešany,,hřiště",,
ST_4456,"Pardubice, Ostřešany,park",,
ST_4457,"Pardubice, Ostřešany,škola",,
ST_4458,"Pardubice, Ostřešany,točna",,
ST_4459,"Pardubice, 17.listopadu",,
ST_4460,"Pardubice, Albert HM",,
ST_4461,"Pardubice, Bezdíčkova",,
ST_4462,"Pardubice, Blahoutova",,
ST_4463,"Pardubice, Demokratické mládeže",,
ST_4464,"Pardubice, Domov mládeže",,
ST_4465,"Pardubice, Dopravní podnik",,
ST_4466,"Pardubice, ERA,Zámeček",,
ST_4467,"Pardubice, Globus",,
ST_4468,"Pardubice, Globus,parkoviště",,
ST_4469,"Pardubice, Gorkého",,
ST_4470,"Pardubice, Gorkého,škola",,
ST_4471,"Pardubice, Hlavní nádraží",,
ST_4472,"Pardubice, Holubova",,
ST_4473,"Pardubice, Hůrka",,
ST_4474,"Pardubice, Husova",,
ST_4475,"Pardubice, Jana Palacha",,
ST_4476,"Pardubice, Jilemnického",,
ST_4477,"Pardubice, K Letišti",,
ST_4478,"Pardubice, K nemocnici",,
ST_4479,"Pardubice, K Polabinám",,
ST_4480,"Pardubice, Karla IV.",,
ST_4481,"Pardubice, Karla Šípka",,
ST_4482,"Pardubice, Kpt.Nálepky",,
ST_4483,"Pardubice, Krajský úřad",,
ST_4484,"Pardubice, Krematorium",,
ST_4485,"Pardubice, Kréta",,
ST_4486,"Pardubice, Kyjevská",,
ST_4487,"Pardubice, Letiště terminál",,
ST_4488,"Pardubice, Lexova",,
ST_4489,"Pardubice, Masarykovo nám.",,
ST_4490,"Pardubice, Na Bukovině",,
ST_4491,"Pardubice, Na Drážce",,
ST_4492,"Pardubice, Na Haldě",,
ST_4493,"Pardubice, Na Okrouhlíku",,
ST_4494,"Pardubice, Nadjezd Paramo",,
ST_4495,"Pardubice, Náměstí Republiky",,
ST_4496,"Pardubice, Nemocnice",,
ST_4497,"Pardubice, Nemošická,bytovky",,
ST_4498,"Pardubice, Palackého",,
ST_4499,"Pardubice, Poděbradská",,
ST_4500,"Pardubice, Průmyslová",,
ST_4501,"Pardubice, Rokycanova",,
ST_4502,"Pardubice, S.K.Neumanna",,
ST_4503,"Pardubice, Sakařova",,
ST_4504,"Pardubice, Staňkova škola",,
ST_4505,"Pardubice, Stavařov",,
ST_4506,"Pardubice, Sukova",,
ST_4507,"Pardubice, Štrossova",,
ST_4508,"Pardubice, Teplého",,
ST_4509,"Pardubice, Terminál Univerzita",,
ST_4510,"Pardubice, U kapitána",,
ST_4511,"Pardubice, U Kostelíčka",,
ST_4512,"Pardubice, U Marka",,
ST_4513,"Pardubice, Ulice Svobody",,
ST_4514,"Pardubice, Univerzita",,
ST_4515,"Pardubice, Vápenka",,
ST_4516,"Pardubice, Výzkumný ústav",,
ST_4517,"Pardubice, Zámeček",,
